"","corr","p"
"DHX35",0.00845867021390882,0.422910955094483
"AL450322.2",0.00845568545595246,0.423074635411877
"TANC1",0.00845307006678039,0.423218090496188
"ETAA1",0.0084466436210028,0.423570704375864
"AL031722.1",0.0084455766519237,0.423629264738853
"AC117453.1",0.00844510928341544,0.423654917648187
"AC079684.1",0.00844250655032951,0.423797793008065
"ZNF33B",0.00843501111836104,0.424209407340372
"LINC02332",0.00843447621075439,0.424238790915193
"SERF1A",0.00842832473539248,0.424576789616464
"AL121935.3",0.00842788162474152,0.424601142829633
"KF456478.1",0.00842580517893977,0.424715274470435
"FBXO34",0.0084209434598177,0.424982568490142
"AP003557.1",0.00841913543487457,0.425081997533915
"NOL4",0.00841451282618397,0.425336271253691
"AC010680.3",0.00841380633357816,0.425375140790527
"MCM3AP-AS1",0.00840820003357044,0.425683659547462
"FOXP4-AS1",0.0084067943801221,0.425761034147164
"AC090680.1",0.00840657212047327,0.425773269245053
"AC068580.5",0.00840357764924346,0.42593813090327
"PSMD6-AS1",0.00840295277471752,0.425972538284392
"APLN",0.00840080297568115,0.426090924761409
"AC110716.2",0.00840058232236037,0.426103076922319
"AP003174.1",0.00839893752920432,0.426193667884423
"ODF3L2",0.00839797091284384,0.426246911859052
"AL160391.1",0.00839565537818379,0.426374473860884
"AC008752.1",0.00839565537818379,0.426374473860884
"SPATA13-AS1",0.00839418776780817,0.426455335532188
"AC002542.6",0.0083910157841334,0.426630134465051
"AL137139.2",0.00838732354880994,0.426833655570026
"PKD1L1",0.00838681235356156,0.426861837816011
"AC005005.3",0.00838664376895652,0.426871132140193
"DPF1",0.0083861810008036,0.426896645854379
"AC005062.1",0.00838539030416029,0.426940241247952
"FBXL13",0.00838481965976795,0.426971705579387
"AL365295.2",0.00838335558502607,0.427052438274313
"AL138762.1",0.00838145130297611,0.427157458393153
"OLFML2A",0.00838011793725051,0.427231001742267
"NLRP7",0.00837995127168565,0.427240194895375
"AL356277.3",0.00837958866520931,0.4272601964068
"LINC00642",0.00837825264721483,0.427333896375554
"AC092159.1",0.00837539293938653,0.427491673909339
"C18orf63",0.00837539293938653,0.427491673909339
"AC000068.3",0.00837535165338986,0.427493952013762
"UBE2I",0.00836951224568144,0.42781623369373
"SS18",0.00836887174088152,0.427851592282134
"AC068756.1",0.00836870599792533,0.427860742275101
"EHD2",0.00836456051371652,0.428089634608988
"AC139768.1",0.00836214429552262,0.428223078624168
"AC105345.2",0.00835864981469879,0.428416116233853
"TMEM178A",0.00835751974654124,0.428478552833767
"AC090617.2",0.00835418663299386,0.42866273916759
"TMEM54",0.00835342038228297,0.428705088340383
"AC100830.3",0.0083529869905308,0.428729042129004
"FSD2",0.00835174448540316,0.428797720350595
"CEBPG",0.0083511527515432,0.428830430093208
"AC107067.2",0.008350817914887,0.428848939767722
"LINC01933",0.00835071755645973,0.428854487643331
"ASIC3",0.00834978717732313,0.428905921560942
"IL20RB-AS1",0.00834841263047543,0.428981916853939
"SYNGAP1-AS1",0.00834783046136299,0.42901410590272
"PARN",0.00834782352305561,0.429014489541148
"ZNF607",0.00834676124704423,0.429073228106532
"AC096747.1",0.00834539350974095,0.429148864041507
"AC004449.1",0.00833995849490873,0.42944949717518
"AL355297.2",0.00833970577900984,0.429463478912363
"AKR7A3",0.00833921792224605,0.429490470780019
"ZNF236",0.00833612048990623,0.429661866785159
"AL121820.2",0.00833521760448474,0.429711835306691
"AL662884.5",0.00833175810550754,0.42990332611004
"CELF4",0.00833012612451212,0.429993677010947
"AC011374.3",0.00832755447318604,0.430136072986201
"AL078600.1",0.00832747005810956,0.4301407476325
"AC093928.1",0.00832183041876787,0.430453120242192
"CHPF2",0.00831974452065585,0.43056868888442
"LINC02235",0.00831673306270318,0.430735569682394
"AC108693.2",0.00831567817973071,0.430794035194337
"PRICKLE2-AS3",0.00830541889773422,0.431362882544033
"LINC02561",0.00830161575648827,0.431573866235617
"OTX1",0.0083000593233337,0.431660228420422
"AC068473.5",0.00829848091850782,0.431747819979001
"PIGR",0.00829740534093158,0.43180751368124
"AL390800.1",0.00829026880836627,0.432203706674457
"LINC01166",0.00828973922220128,0.432233115660606
"DGCR6",0.00828953133160719,0.432244660560629
"BAALC-AS1",0.00828948530201017,0.432247216771108
"ST20-AS1",0.00828930344191174,0.432257316286637
"TCEA2",0.00828616780656184,0.432431473817098
"FGF7",0.00828614342678612,0.432432828062737
"RGS17",0.00828572100518873,0.432456293090334
"AL035661.2",0.00828263933848023,0.432627498387574
"ILDR2",0.00828064495457289,0.432738319429669
"EDC4",0.00827988927230492,0.432780314380876
"MID1",0.00827940862196949,0.432807026420403
"STRIP1",0.00827817011446901,0.432875860605912
"AC073257.1",0.0082768214542624,0.432950824099463
"AC003092.1",0.00827255178515767,0.433188197530876
"LZTS1-AS1",0.00827255178515767,0.433188197530876
"FGF23",0.00826925031570824,0.433371795230363
"BX255923.1",0.00826730885959074,0.433479782367028
"AC011751.1",0.00826533856890365,0.433589389236906
"CAPZB",0.00826136501017869,0.433810486232557
"AC023483.1",0.00826103616008021,0.433828787048722
