"gene","beta","stderr","t","p","celltype","padj","label_color","leadingEdgeIn"
"ABCF1",-0.175731711804777,0.0548434011342376,-3.20424532706582,0.00171860953092485,"Myeloid",1,"grey",""
"PPP1R10",-0.331901413767966,0.0571638780423825,-5.80613886136079,4.96648564447485e-08,"Myeloid",0.000221256935461355,"grey",""
"MRPS18B",-0.131709680268491,0.0496777295795151,-2.65128220197089,0.00905681700654509,"Myeloid",1,"grey",""
"PPP1R18",-0.17894874511106,0.0516271081130116,-3.46617797610011,0.000724201561365182,"Myeloid",1,"grey",""
"TUBB",0.094714200798314,0.0276239677149287,3.42869647748422,0.000821941476826256,"Myeloid",1,"grey",""
"FLOT1",-0.177164746891904,0.0574604343849885,-3.08324760834367,0.00252013316054985,"Myeloid",1,"grey",""
"IER3",-0.325731001759718,0.062802504826074,-5.18659251986526,8.37976435545876e-07,"Myeloid",0.00373318502035688,"grey",""
"HLA-C",-0.0703144792157401,0.0110815172006374,-6.34520327340155,3.71826900064711e-09,"Myeloid",1.65648883978829e-05,"grey",""
"HLA-B",-0.0515790798729249,0.0092541511831342,-5.57361543508478,1.46405156138802e-07,"Myeloid",0.000652234970598362,"grey",""
"DDX39B",-0.174348637193925,0.0435409099038877,-4.00424882205684,0.000106023332751998,"Myeloid",0.472333947410152,"grey",""
"LST1",-0.694536670998947,0.0518562926187324,-13.3934887344425,6.42625339695707e-26,"Myeloid",2.86289588834438e-22,"grey",""
"AIF1",-0.409896149924673,0.0440980820543089,-9.29510152890245,6.0263114645113e-16,"Myeloid",2.68472175743979e-12,"grey",""
"PRRC2A",-0.267254947715701,0.0531404210626047,-5.02922149225818,1.66820974019319e-06,"Myeloid",0.00743187439256067,"grey",""
"BAG6",-0.124886838712883,0.0546383904377168,-2.28569761503579,0.0239558828407581,"Myeloid",1,"grey",""
"GPANK1",-0.260015384012445,0.0516398167294812,-5.03517247891397,1.62570877705933e-06,"Myeloid",0.00724253260179929,"grey",""
"CSNK2B",-0.0822134891318445,0.0460730894949033,-1.78441450384913,0.0767821892033643,"Myeloid",1,"grey",""
